DC3000	241185	241186	241187	241188	241189	241190	241191	241193	241195	241199	241201	241203	241204	241205	241207	241211	241212	241216	241217	241219	241220	241227	241228	241231	241232	241234	241235	241237	241239	241241	241244	241247	241249	241250	241251	241252	241255	241256	241258	241261	241263	241266	241270	241271	241272	241273	241274	241275	241276	241277	241278	241279	241280	241281	241282	241283	241284	241285	241286	241287	241288	241289	241290	241291	241292	241293	241294	241296	241301	241303	241304	241309	241312	241317	241320	241326	241331	241333	241334	241335	241336	241338	241339	241342	241345	241346	241347	241348	241349	241351	241352	241353	241354	241361	241415	241417	241422	241423	241424	241425	241426	241431	241432	241458	241466	241467	241469	241472	241486	241492	241500	241501	241504	241507	241510	241544	241547	241563	241564	241565	241566	241567	241568	241569	241570	241571	241572	241573	241574	241575	241576	241578	241579	241580	241581	241582	241605	241613	241614	241616	241617	241620	241621	241630	241638
g989	g1498	g1459	g1485	g1509	g1475	g1508	g1652	g1611	g1564	g1481	g1789	g1446	g1531	g1484	g1555	g1470	g1466	g1216	g1490	g1563	g1472	g1747	g1608	g1457	g1433	g1448	g1466	g1454	g1472	g1493	g1451	g1451	g1454	g1493	g1456	g1444	g1455	g1626	g1441	g1811	g1455	g1562	g1470	g1470	g1906	g1502	g1470	g1470	g1470	g1470	g1486	g1492	g1470	g1504	g1470	g1470	g1484	g1475	g1502	g1470	g1494	g1473	g1470	g1470	g1470	g1470	g1260	g1484	g1470	g1518	g1489	g1805	g2726	g1506	g1558	g1486	g1971	g1727	g1494	g1800	g2353	g1558	g1486	g1560	g1470	g1484	g1470	g1482	g1725	g1470	g1601	g1470	g1450	g3202	g1175	g1283	g1703	g1477	g1226	g1493	g1537	g1496	g1467	g1647	g1601	g1470	g1480	g1570	g1475	g1804	g1458	g1487	g1449	g1489	g1557	g1547	g1483	g1470	g1502	g1502	g1290	g1486	g1470	g1470	g1494	g1474	g1470	g1503	g1470	g1486	g1470	g1470	g1470	g1470	g1494	g1400	g1801	g1584	g1666	g1811	g1585	g1660	g1510	g1486	g1473
g990	g1499	g1460	g1487	g1510	g1477	g1509	g1653	g1614	g1565	g1482	g1790	g1447	g1532	g1485	g1556	g1471	g1467	g1217	g1491	g1564	g1473	g1748	g1610	g1458	g1434	g1449	g1467	g1455	g1473	g1494	g1452	g1452	g1455	g1494	g1457	g1445	g1456	g1631	g1442	g1812	g1456	g1563	g1471	g1471	g1907	g1503	g1471	g1471	g1471	g1471	g1487	g1493	g1471	g1505	g1471	g1471	g1485	g1476	g1503	g1471	g1495	g1474	g1471	g1471	g1471	g1471	g1261	g1485	g1471	g1519	g1490	g1806	g2728	g1507	g1559	g1487	g1973	g1728	g1495	g1801	g2354	g1559	g1487	g1561	g1471	g1485	g1471	g1483	g1726	g1471	g1602	g1471	g1451	g3203	g1176	g1284	g1704	g1479	g1227	g1494	g1540	g1497	g1468	g1651	g1602	g1471	g1481	g1572	g1477	g1805	g1459	g1489	g1450	g1490	g1558	g1549	g1484	g1471	g1503	g1503	g1291	g1487	g1471	g1471	g1495	g1475	g1471	g1504	g1471	g1487	g1471	g1471	g1471	g1471	g1495	g1401	g1803	g1585	g1668	g1812	g1586	g1663	g1511	g1487	g1474
g991	g1500	g1462	g1489	g1511	g1479	g1510	g1659	g1619	g1566	g1483	g1791	g1448	g1534	g1486	g1557	g1472	g1468	g1218	g1492	g1565	g1474	g1749	g1611	g1459	g1435	g1450	g1468	g1456	g1474	g1495	g1453	g1453	g1456	g1495	g1458	g1446	g1457	g1632	g1443	g1813	g1457	g1564	g1472	g1472	g1908	g1504	g1472	g1472	g1472	g1472	g1489	g1494	g1472	g1509	g1472	g1472	g1486	g1477	g1504	g1472	g1496	g1475	g1472	g1472	g1472	g1472	g1262	g1486	g1472	g1520	g1491	g1807	g2729	g1508	g1564	g1489	g1975	g1729	g1496	g1804	g2356	g1564	g1489	g1562	g1472	g1486	g1472	g1484	g1727	g1472	g1608	g1472	g1452	g3237	g1177	g1286	g1705	g1480	g1228	g1495	g1541	g1498	g1470	g1652	g1608	g1472	g1482	g1573	g1479	g1806	g1460	g1490	g1451	g1491	g1559	g1550	g1485	g1472	g1504	g1504	g1295	g1489	g1472	g1472	g1496	g1477	g1472	g1505	g1472	g1489	g1472	g1472	g1472	g1472	g1496	g1402	g1804	g1587	g1669	g1813	g1587	g1664	g1512	g1489	g1475
g992	g1501	g1463	g1490	g1512	g1480	g1511	g1660	g1622	g1567	g1484	g1792	g1449	g1535	g1487	g1558	g1473	g1470	g1219	g1493	g1566	g1475	g1750	g1613	g1460	g1436	g1451	g1470	g1457	g1475	g1496	g1454	g1454	g1457	g1496	g1459	g1447	g1458	g1640	g1444	g1815	g1458	g1565	g1473	g1473	g1909	g1505	g1473	g1473	g1473	g1473	g1490	g1495	g1473	g1510	g1473	g1473	g1487	g1478	g1505	g1473	g1497	g1477	g1473	g1473	g1473	g1473	g1263	g1487	g1473	g1522	g1492	g1808	g2738	g1509	g1565	g1490	g1976	g1730	g1497	g1805	g2358	g1565	g1490	g1563	g1473	g1487	g1473	g1485	g1728	g1473	g1610	g1473	g1453	g3262	g1178	g1287	g1706	g1481	g1229	g1496	g1542	g1500	g1471	g1653	g1610	g1473	g1483	g1574	g1480	g1808	g1462	g1491	g1452	g1492	g1560	g1551	g1486	g1473	g1505	g1505	g1296	g1490	g1473	g1473	g1497	g1479	g1473	g1506	g1473	g1490	g1473	g1473	g1473	g1473	g1497	g1403	g1805	g1588	g1670	g1815	g1588	g1668	g1513	g1490	g1477
g993	g1502	g1465	g1491	g1513	g1481	g1512	g1664	g1626	g1569	g1485	g1794	g1450	g1536	g1489	g1559	g1474	g1471	g1220	g1494	g1567	g1477	g1751	g1614	g1462	g1437	g1452	g1471	g1458	g1477	g1497	g1455	g1455	g1458	g1497	g1460	g1448	g1459	g1641	g1445	g1816	g1459	g1566	g1474	g1474	g1910	g1506	g1474	g1474	g1474	g1474	g1491	g1496	g1474	g1511	g1474	g1474	g1489	g1479	g1506	g1474	g1498	g1479	g1474	g1474	g1474	g1474	g1264	g1489	g1474	g1523	g1493	g1809	g2740	g1510	g1567	g1491	g1977	g1731	g1498	g1806	g2359	g1567	g1491	g1564	g1474	g1489	g1474	g1486	g1729	g1474	g1611	g1474	g1454	g3263	g1179	g1288	g1708	g1482	g1230	g1497	g1543	g1501	g1472	g1657	g1611	g1474	g1484	g1575	g1481	g1809	g1463	g1492	g1453	g1493	g1561	g1553	g1487	g1474	g1506	g1506	g1297	g1491	g1474	g1474	g1498	g1480	g1474	g1507	g1474	g1491	g1474	g1474	g1474	g1474	g1498	g1405	g1806	g1596	g1671	g1816	g1599	g1669	g1514	g1491	g1479
g994	g1503	g1466	g1492	g1514	g1482	g1513	g1668	g1631	g1570	g1487	g1795	g1452	g1537	g1490	g1560	g1475	g1472	g1221	g1495	g1569	g1479	g1752	g1616	g1463	g1438	g1453	g1472	g1459	g1479	g1498	g1456	g1456	g1459	g1498	g1462	g1449	g1460	g1642	g1446	g1817	g1460	g1567	g1475	g1475	g1911	g1507	g1475	g1475	g1475	g1475	g1492	g1497	g1475	g1512	g1475	g1475	g1490	g1481	g1507	g1475	g1500	g1481	g1475	g1475	g1475	g1475	g1265	g1490	g1475	g1524	g1494	g1810	g2742	g1511	g1572	g1492	g1978	g1732	g1500	g1808	g2368	g1572	g1492	g1565	g1475	g1490	g1475	g1487	g1730	g1475	g1613	g1475	g1455	g3267	g1180	g1289	g1709	g1483	g1231	g1498	g1544	g1502	g1473	g1658	g1614	g1475	g1485	g1576	g1482	g1810	g1465	g1493	g1454	g1494	g1562	g1554	g1489	g1475	g1507	g1507	g1299	g1492	g1475	g1475	g1500	g1481	g1475	g1508	g1475	g1492	g1475	g1475	g1475	g1475	g1500	g1412	g1808	g1599	g1672	g1817	g1600	g1670	g1515	g1492	g1481
g995	g1504	g1467	g1493	g1515	g1483	g1514	g1669	g1632	g1572	g1489	g1796	g1453	g1540	g1491	g1561	g1477	g1473	g1222	g1496	g1570	g1480	g1753	g1617	g1465	g1439	g1454	g1474	g1460	g1480	g1500	g1457	g1457	g1460	g1500	g1463	g1450	g1462	g1644	g1447	g1818	g1462	g1569	g1477	g1477	g1912	g1508	g1477	g1477	g1477	g1477	g1493	g1498	g1477	g1515	g1477	g1477	g1491	g1482	g1508	g1477	g1501	g1482	g1477	g1477	g1477	g1477	g1266	g1491	g1477	g1525	g1495	g1811	g2743	g1512	g1573	g1493	g1979	g1733	g1501	g1809	g2381	g1573	g1493	g1566	g1477	g1491	g1477	g1489	g1731	g1477	g1614	g1477	g1456	g3278	g1181	g1290	g1710	g1484	g1232	g1500	g1545	g1503	g1474	g1659	g1619	g1477	g1486	g1577	g1483	g1811	g1466	g1494	g1455	g1495	g1563	g1555	g1490	g1477	g1508	g1508	g1300	g1493	g1477	g1477	g1501	g1482	g1477	g1509	g1477	g1493	g1477	g1477	g1477	g1477	g1501	g1415	g1809	g1600	g1673	g1818	g1601	g1672	g1516	g1493	g1482
g996	g1505	g1468	g1494	g1516	g1484	g1515	g1670	g1636	g1573	g1490	g1797	g1454	g1542	g1492	g1562	g1479	g1474	g1223	g1497	g1572	g1481	g1754	g1619	g1466	g1441	g1455	g1477	g1462	g1481	g1501	g1458	g1458	g1462	g1501	g1465	g1451	g1463	g1647	g1448	g1819	g1463	g1570	g1479	g1479	g1913	g1509	g1479	g1479	g1479	g1479	g1494	g1499	g1479	g1519	g1479	g1479	g1492	g1484	g1509	g1479	g1502	g1483	g1479	g1479	g1479	g1479	g1267	g1492	g1479	g1526	g1496	g1812	g2746	g1513	g1575	g1494	g1980	g1734	g1502	g1810	g2382	g1575	g1494	g1567	g1479	g1492	g1479	g1490	g1732	g1479	g1616	g1479	g1457	g3289	g1182	g1291	g1711	g1485	g1233	g1501	g1546	g1504	g1475	g1660	g1622	g1479	g1487	g1579	g1484	g1812	g1467	g1495	g1456	g1496	g1564	g1556	g1491	g1479	g1509	g1509	g1302	g1494	g1479	g1479	g1502	g1483	g1479	g1510	g1479	g1494	g1479	g1479	g1479	g1479	g1502	g1423	g1810	g1601	g1674	g1819	g1602	g1682	g1517	g1494	g1483
g997	g1506	g1470	g1495	g1517	g1485	g1517	g1673	g1640	g1574	g1491	g1798	g1455	g1544	g1493	g1563	g1480	g1475	g1224	g1498	g1573	g1482	g1755	g1620	g1467	g1442	g1456	g1479	g1463	g1482	g1502	g1459	g1459	g1463	g1502	g1466	g1452	g1465	g1651	g1449	g1820	g1465	g1572	g1481	g1481	g1914	g1510	g1481	g1481	g1481	g1481	g1495	g1500	g1481	g1521	g1481	g1481	g1493	g1485	g1510	g1481	g1503	g1484	g1481	g1481	g1481	g1481	g1268	g1493	g1481	g1528	g1497	g1813	g2748	g1514	g1576	g1495	g1981	g1736	g1503	g1811	g2391	g1576	g1495	g1568	g1481	g1493	g1481	g1491	g1733	g1481	g1619	g1481	g1458	g3293	g1183	g1292	g1712	g1486	g1234	g1502	g1547	g1505	g1477	g1663	g1626	g1481	g1489	g1580	g1485	g1813	g1468	g1496	g1457	g1497	g1565	g1557	g1492	g1481	g1510	g1510	g1304	g1495	g1481	g1481	g1503	g1484	g1481	g1511	g1481	g1495	g1481	g1481	g1481	g1481	g1503	g1424	g1811	g1602	g1682	g1820	g1608	g1684	g1518	g1495	g1484
g998	g1508	g1471	g1496	g1518	g1486	g1519	g1674	g1641	g1575	g1492	g1799	g1456	g1545	g1494	g1564	g1481	g1477	g1225	g1500	g1574	g1483	g1756	g1622	g1468	g1443	g1457	g1480	g1465	g1483	g1503	g1460	g1460	g1465	g1503	g1467	g1453	g1466	g1652	g1450	g1821	g1466	g1573	g1482	g1482	g1915	g1511	g1482	g1482	g1482	g1482	g1496	g1501	g1482	g1522	g1482	g1482	g1494	g1486	g1511	g1482	g1504	g1485	g1482	g1482	g1482	g1482	g1269	g1494	g1482	g1530	g1498	g1815	g2749	g1515	g1577	g1496	g1982	g1738	g1504	g1812	g2395	g1577	g1496	g1569	g1482	g1494	g1482	g1492	g1734	g1482	g1620	g1482	g1459	g3295	g1187	g1293	g1713	g1487	g1235	g1503	g1549	g1506	g1479	g1664	g1631	g1482	g1490	g1581	g1486	g1815	g1470	g1497	g1458	g1498	g1566	g1558	g1493	g1482	g1511	g1511	g1305	g1496	g1482	g1482	g1504	g1485	g1482	g1512	g1482	g1496	g1482	g1482	g1482	g1482	g1504	g1425	g1812	g1608	g1690	g1821	g1610	g1686	g1519	g1496	g1485
g999	g1509	g1472	g1497	g1519	g1487	g1520	g1682	g1642	g1576	g1493	g1800	g1457	g1546	g1495	g1565	g1482	g1479	g1226	g1501	g1575	g1484	g1757	g1624	g1470	g1444	g1458	g1481	g1466	g1484	g1504	g1462	g1462	g1466	g1504	g1468	g1454	g1467	g1653	g1451	g1824	g1467	g1574	g1483	g1483	g1916	g1512	g1483	g1483	g1483	g1483	g1497	g1502	g1483	g1523	g1483	g1483	g1495	g1487	g1512	g1483	g1505	g1486	g1483	g1483	g1483	g1483	g1270	g1495	g1483	g1531	g1500	g1816	g2760	g1517	g1581	g1497	g1983	g1739	g1505	g1813	g2396	g1581	g1497	g1570	g1483	g1495	g1483	g1493	g1736	g1483	g1622	g1483	g1460	g3297	g1188	g1294	g1714	g1489	g1236	g1504	g1550	g1507	g1480	g1668	g1632	g1483	g1491	g1582	g1487	g1816	g1471	g1498	g1459	g1500	g1567	g1559	g1494	g1483	g1512	g1512	g1309	g1497	g1483	g1483	g1505	g1486	g1483	g1513	g1483	g1497	g1483	g1483	g1483	g1483	g1505	g1426	g1813	g1610	g1691	g1824	g1611	g1687	g1520	g1497	g1486
g1000	g1510	g1473	g1498	g1520	g1489	g1521	g1687	g1644	g1577	g1494	g1801	g1458	g1547	g1496	g1566	g1483	g1480	g1227	g1502	g1576	g1485	g1758	g1626	g1471	g1445	g1459	g1482	g1467	g1485	g1505	g1463	g1463	g1467	g1505	g1470	g1455	g1468	g1656	g1452	g1825	g1468	g1575	g1484	g1484	g1917	g1513	g1484	g1484	g1484	g1484	g1498	g1503	g1484	g1524	g1484	g1484	g1496	g1490	g1513	g1484	g1506	g1487	g1484	g1484	g1484	g1484	g1277	g1496	g1484	g1532	g1501	g1817	g2761	g1519	g1584	g1498	g1984	g1740	g1506	g1815	g2422	g1584	g1498	g1571	g1484	g1496	g1484	g1494	g1738	g1484	g1624	g1484	g1462	g3299	g1189	g1295	g1715	g1490	g1237	g1505	g1551	g1508	g1481	g1669	g1636	g1484	g1492	g1584	g1489	g1817	g1472	g1500	g1460	g1501	g1569	g1560	g1495	g1484	g1513	g1513	g1310	g1498	g1484	g1484	g1506	g1487	g1484	g1514	g1484	g1498	g1484	g1484	g1484	g1484	g1506	g1428	g1815	g1614	g1692	g1825	g1613	g1688	g1521	g1498	g1487
g1001	g1511	g1474	g1499	g1521	g1490	g1522	g1688	g1647	g1579	g1495	g1802	g1459	g1550	g1497	g1567	g1484	g1481	g1228	g1503	g1577	g1486	g1759	g1631	g1472	g1446	g1460	g1483	g1468	g1486	g1506	g1465	g1465	g1468	g1506	g1471	g1456	g1470	g1657	g1453	g1826	g1470	g1576	g1485	g1485	g1918	g1514	g1485	g1485	g1485	g1485	g1500	g1504	g1485	g1525	g1485	g1485	g1497	g1491	g1514	g1485	g1507	g1489	g1485	g1485	g1485	g1485	g1279	g1497	g1485	g1533	g1502	g1818	g2765	g1520	g1588	g1500	g1985	g1742	g1507	g1816	g2442	g1588	g1500	g1572	g1485	g1497	g1485	g1495	g1739	g1485	g1626	g1485	g1463	g3300	g1190	g1296	g1716	g1491	g1238	g1506	g1553	g1509	g1482	g1670	g1640	g1485	g1493	g1585	g1490	g1818	g1473	g1501	g1462	g1502	g1570	g1561	g1496	g1485	g1514	g1514	g1312	g1500	g1485	g1485	g1507	g1489	g1485	g1515	g1485	g1500	g1485	g1485	g1485	g1485	g1507	g1429	g1817	g1619	g1693	g1826	g1614	g1689	g1522	g1500	g1489
g1002	g1512	g1475	g1500	g1522	g1491	g1523	g1689	g1651	g1580	g1496	g1803	g1460	g1551	g1498	g1568	g1485	g1482	g1229	g1504	g1579	g1487	g1760	g1632	g1473	g1447	g1462	g1484	g1470	g1487	g1507	g1466	g1466	g1470	g1507	g1472	g1457	g1471	g1658	g1454	g1827	g1471	g1577	g1486	g1486	g1919	g1515	g1486	g1486	g1486	g1486	g1501	g1505	g1486	g1526	g1486	g1486	g1498	g1492	g1515	g1486	g1508	g1490	g1486	g1486	g1486	g1486	g1280	g1498	g1486	g1534	g1503	g1819	g2766	g1521	g1590	g1501	g1986	g1745	g1508	g1817	g2457	g1590	g1501	g1573	g1486	g1498	g1486	g1496	g1740	g1486	g1630	g1486	g1465	g3306	g1191	g1297	g1717	g1492	g1239	g1507	g1554	g1510	g1483	g1672	g1641	g1486	g1494	g1586	g1491	g1819	g1474	g1502	g1463	g1503	g1572	g1562	g1497	g1486	g1515	g1515	g1313	g1501	g1486	g1486	g1508	g1490	g1486	g1516	g1486	g1501	g1486	g1486	g1486	g1486	g1508	g1434	g1818	g1622	g1694	g1827	g1616	g1690	g1523	g1501	g1490
g1003	g1513	g1476	g1501	g1523	g1492	g1524	g1690	g1652	g1581	g1497	g1806	g1462	g1553	g1500	g1569	g1486	g1483	g1230	g1505	g1580	g1489	g1761	g1634	g1474	g1448	g1463	g1485	g1471	g1489	g1508	g1467	g1467	g1471	g1508	g1473	g1458	g1472	g1659	g1455	g1828	g1472	g1579	g1487	g1487	g1920	g1516	g1487	g1487	g1487	g1487	g1502	g1506	g1487	g1528	g1487	g1487	g1500	g1493	g1516	g1487	g1509	g1491	g1487	g1487	g1487	g1487	g1281	g1500	g1487	g1535	g1504	g1820	g2767	g1522	g1596	g1502	g1987	g1746	g1509	g1818	g2458	g1596	g1502	g1574	g1487	g1500	g1487	g1497	g1742	g1487	g1631	g1487	g1466	g3307	g1192	g1298	g1718	g1493	g1240	g1508	g1555	g1511	g1484	g1682	g1642	g1487	g1495	g1587	g1492	g1820	g1475	g1503	g1465	g1504	g1573	g1563	g1498	g1487	g1516	g1516	g1314	g1502	g1487	g1487	g1509	g1491	g1487	g1517	g1487	g1502	g1487	g1487	g1487	g1487	g1509	g1435	g1819	g1626	g1695	g1828	g1619	g1691	g1524	g1502	g1491
g1004	g1514	g1477	g1502	g1524	g1493	g1525	g1692	g1653	g1582	g1498	g1808	g1463	g1554	g1501	g1570	g1487	g1484	g1231	g1506	g1581	g1490	g1762	g1636	g1475	g1449	g1465	g1486	g1472	g1490	g1509	g1468	g1468	g1472	g1509	g1474	g1459	g1473	g1660	g1456	g1829	g1473	g1580	g1489	g1489	g1921	g1517	g1489	g1489	g1489	g1489	g1503	g1507	g1489	g1530	g1489	g1489	g1501	g1494	g1517	g1489	g1510	g1492	g1489	g1489	g1489	g1489	g1282	g1501	g1489	g1536	g1505	g1821	g2771	g1523	g1599	g1503	g1988	g1748	g1510	g1819	g2464	g1599	g1503	g1575	g1489	g1501	g1489	g1498	g1745	g1489	g1632	g1489	g1467	g3314	g1193	g1299	g1719	g1494	g1241	g1509	g1556	g1512	g1485	g1690	g1644	g1489	g1496	g1588	g1493	g1821	g1477	g1504	g1466	g1505	g1574	g1564	g1500	g1489	g1517	g1517	g1315	g1503	g1489	g1489	g1510	g1492	g1489	g1518	g1489	g1503	g1489	g1489	g1489	g1489	g1510	g1437	g1820	g1631	g1696	g1829	g1620	g1692	g1525	g1503	g1492
g1005	g1515	g1478	g1503	g1525	g1494	g1526	g1696	g1657	g1584	g1500	g1809	g1465	g1555	g1502	g1571	g1489	g1485	g1232	g1507	g1582	g1491	g1763	g1640	g1477	g1450	g1466	g1487	g1473	g1491	g1510	g1470	g1470	g1473	g1510	g1475	g1460	g1474	g1663	g1457	g1830	g1474	g1581	g1490	g1490	g1922	g1518	g1490	g1490	g1490	g1490	g1504	g1508	g1490	g1531	g1490	g1490	g1502	g1496	g1518	g1490	g1511	g1493	g1490	g1490	g1490	g1490	g1283	g1502	g1490	g1540	g1506	g1824	g2772	g1524	g1600	g1504	g1989	g1749	g1511	g1820	g2466	g1600	g1504	g1576	g1490	g1502	g1490	g1500	g1746	g1490	g1634	g1490	g1468	g3315	g1194	g1300	g1720	g1495	g1242	g1510	g1557	g1513	g1486	g1691	g1647	g1490	g1497	g1596	g1494	g1824	g1479	g1505	g1467	g1506	g1575	g1565	g1501	g1490	g1518	g1518	g1316	g1504	g1490	g1490	g1511	g1493	g1490	g1519	g1490	g1504	g1490	g1490	g1490	g1490	g1511	g1438	g1821	g1632	g1697	g1830	g1622	g1694	g1526	g1504	g1493
g1006	g1517	g1479	g1504	g1526	g1495	g1527	g1699	g1659	g1585	g1501	g1810	g1466	g1556	g1503	g1572	g1490	g1486	g1233	g1508	g1584	g1492	g1764	g1641	g1479	g1451	g1467	g1489	g1474	g1492	g1511	g1471	g1471	g1474	g1511	g1477	g1462	g1475	g1664	g1458	g1831	g1475	g1582	g1491	g1491	g1931	g1519	g1491	g1491	g1491	g1491	g1505	g1509	g1491	g1532	g1491	g1491	g1503	g1497	g1519	g1491	g1512	g1494	g1491	g1491	g1491	g1491	g1286	g1503	g1491	g1541	g1508	g1825	g2773	g1525	g1601	g1505	g1990	g1750	g1512	g1821	g2468	g1601	g1505	g1577	g1491	g1503	g1491	g1501	g1748	g1491	g1640	g1491	g1470	g3317	g1195	g1301	g1721	g1496	g1243	g1511	g1558	g1514	g1487	g1692	g1651	g1491	g1498	g1599	g1495	g1825	g1480	g1506	g1468	g1507	g1576	g1566	g1502	g1491	g1519	g1519	g1317	g1505	g1491	g1491	g1512	g1494	g1491	g1520	g1491	g1505	g1491	g1491	g1491	g1491	g1512	g1445	g1824	g1636	g1698	g1831	g1624	g1695	g1528	g1505	g1494
g1007	g1518	g1481	g1505	g1528	g1496	g1528	g1700	g1660	g1586	g1502	g1811	g1467	g1557	g1504	g1573	g1491	g1487	g1234	g1509	g1585	g1493	g1765	g1642	g1480	g1452	g1468	g1490	g1475	g1493	g1512	g1472	g1472	g1475	g1512	g1479	g1463	g1476	g1668	g1459	g1832	g1477	g1584	g1492	g1492	g1932	g1520	g1492	g1492	g1492	g1492	g1506	g1510	g1492	g1534	g1492	g1492	g1504	g1498	g1520	g1492	g1513	g1495	g1492	g1492	g1492	g1492	g1288	g1504	g1492	g1542	g1509	g1826	g2777	g1526	g1602	g1506	g1991	g1751	g1513	g1824	g2478	g1602	g1506	g1578	g1492	g1504	g1492	g1502	g1749	g1492	g1641	g1492	g1471	g3326	g1196	g1302	g1722	g1497	g1244	g1512	g1559	g1515	g1489	g1693	g1652	g1492	g1500	g1600	g1496	g1826	g1481	g1507	g1470	g1508	g1577	g1567	g1503	g1492	g1520	g1520	g1318	g1506	g1492	g1492	g1513	g1495	g1492	g1521	g1492	g1506	g1492	g1492	g1492	g1492	g1513	g1449	g1825	g1640	g1699	g1832	g1626	g1696	g1530	g1507	g1495
g1008	g1519	g1482	g1506	g1530	g1497	g1530	g1702	g1663	g1587	g1503	g1814	g1468	g1558	g1505	g1574	g1492	g1489	g1235	g1510	g1586	g1494	g1766	g1643	g1481	g1453	g1470	g1491	g1477	g1494	g1513	g1473	g1473	g1477	g1513	g1480	g1465	g1477	g1669	g1460	g1833	g1479	g1585	g1493	g1493	g1933	g1521	g1493	g1493	g1493	g1493	g1507	g1512	g1493	g1536	g1493	g1493	g1505	g1499	g1521	g1493	g1514	g1496	g1493	g1493	g1493	g1493	g1290	g1505	g1493	g1543	g1510	g1827	g2793	g1527	g1608	g1507	g1992	g1752	g1514	g1825	g2479	g1608	g1507	g1579	g1493	g1505	g1493	g1503	g1750	g1493	g1642	g1493	g1472	g3329	g1197	g1303	g1723	g1498	g1245	g1513	g1560	g1517	g1490	g1694	g1653	g1493	g1501	g1601	g1497	g1827	g1482	g1508	g1471	g1509	g1579	g1568	g1504	g1493	g1521	g1521	g1319	g1507	g1493	g1493	g1514	g1496	g1493	g1522	g1493	g1507	g1493	g1493	g1493	g1493	g1514	g1453	g1826	g1641	g1700	g1833	g1630	g1698	g1531	g1508	g1496
g1009	g1520	g1483	g1507	g1531	g1498	g1531	g1709	g1664	g1588	g1504	g1815	g1470	g1559	g1506	g1575	g1493	g1490	g1236	g1511	g1587	g1495	g1767	g1644	g1482	g1454	g1471	g1492	g1479	g1495	g1514	g1474	g1474	g1479	g1514	g1481	g1466	g1478	g1670	g1462	g1834	g1480	g1586	g1494	g1494	g1934	g1522	g1494	g1494	g1494	g1494	g1508	g1513	g1494	g1537	g1494	g1494	g1506	g1500	g1522	g1494	g1515	g1497	g1494	g1494	g1494	g1494	g1291	g1506	g1494	g1544	g1511	g1828	g2805	g1528	g1610	g1508	g1993	g1753	g1515	g1826	g2487	g1610	g1508	g1581	g1494	g1506	g1494	g1504	g1751	g1494	g1643	g1494	g1474	g3336	g1198	g1304	g1724	g1500	g1246	g1514	g1561	g1519	g1491	g1695	g1657	g1494	g1502	g1602	g1498	g1828	g1483	g1509	g1472	g1510	g1580	g1569	g1505	g1494	g1522	g1522	g1320	g1508	g1494	g1494	g1515	g1497	g1494	g1523	g1494	g1508	g1494	g1494	g1494	g1494	g1515	g1455	g1827	g1642	g1701	g1834	g1631	g1699	g1532	g1509	g1497
g1010	g1521	g1484	g1508	g1532	g1500	g1532	g1710	g1668	g1596	g1505	g1816	g1471	g1560	g1507	g1576	g1494	g1491	g1237	g1512	g1588	g1496	g1768	g1645	g1483	g1455	g1472	g1493	g1480	g1496	g1515	g1475	g1475	g1480	g1515	g1482	g1467	g1479	g1672	g1463	g1835	g1481	g1587	g1495	g1495	g1935	g1523	g1495	g1495	g1495	g1495	g1509	g1514	g1495	g1540	g1495	g1495	g1507	g1501	g1523	g1495	g1516	g1498	g1495	g1495	g1495	g1495	g1295	g1507	g1495	g1545	g1512	g1829	g2814	g1530	g1611	g1509	g1994	g1754	g1516	g1827	g2490	g1611	g1509	g1583	g1495	g1507	g1495	g1505	g1752	g1495	g1644	g1495	g1477	g3338	g1199	g1305	g1725	g1501	g1247	g1515	g1562	g1520	g1492	g1696	g1659	g1495	g1503	g1608	g1500	g1829	g1484	g1510	g1473	g1511	g1581	g1570	g1506	g1495	g1523	g1523	g1321	g1509	g1495	g1495	g1516	g1498	g1495	g1524	g1495	g1509	g1495	g1495	g1495	g1495	g1516	g1456	g1828	g1644	g1702	g1835	g1632	g1700	g1533	g1510	g1498
g1011	g1522	g1485	g1509	g1534	g1501	g1533	g1711	g1669	g1599	g1506	g1817	g1472	g1561	g1508	g1577	g1495	g1492	g1238	g1513	g1596	g1497	g1771	g1647	g1484	g1456	g1473	g1494	g1481	g1497	g1517	g1477	g1477	g1481	g1517	g1483	g1468	g1480	g1673	g1465	g1836	g1482	g1588	g1496	g1496	g1936	g1524	g1496	g1496	g1496	g1496	g1510	g1515	g1496	g1542	g1496	g1496	g1508	g1502	g1524	g1496	g1517	g1500	g1496	g1496	g1496	g1496	g1296	g1508	g1496	g1547	g1513	g1830	g2815	g1531	g1614	g1510	g1995	g1755	g1517	g1828	g2493	g1614	g1510	g1584	g1496	g1508	g1496	g1506	g1753	g1496	g1645	g1496	g1479	g3340	g1200	g1306	g1726	g1502	g1248	g1517	g1563	g1521	g1493	g1697	g1660	g1496	g1504	g1610	g1501	g1830	g1485	g1511	g1474	g1512	g1582	g1571	g1507	g1496	g1524	g1524	g1322	g1510	g1496	g1496	g1517	g1499	g1496	g1525	g1496	g1510	g1496	g1496	g1496	g1496	g1517	g1457	g1829	g1647	g1703	g1837	g1634	g1702	g1534	g1511	g1500
