DC3000	241185	241186	241187	241188	241189	241190	241191	241193	241195	241199	241201	241203	241204	241205	241207	241211	241212	241216	241217	241219	241220	241227	241228	241231	241232	241234	241235	241237	241239	241241	241244	241247	241249	241250	241251	241252	241255	241256	241258	241261	241263	241266	241270	241271	241272	241273	241274	241275	241276	241277	241278	241279	241280	241281	241282	241283	241284	241285	241286	241287	241288	241289	241290	241291	241292	241293	241294	241296	241301	241303	241304	241309	241312	241317	241320	241326	241331	241333	241334	241335	241336	241338	241339	241342	241345	241346	241347	241348	241349	241351	241352	241353	241354	241361	241415	241417	241422	241423	241424	241425	241426	241431	241432	241458	241466	241467	241469	241472	241486	241492	241500	241501	241504	241507	241510	241544	241547	241563	241564	241565	241566	241567	241568	241569	241570	241571	241572	241573	241574	241575	241576	241578	241579	241580	241581	241582	241605	241613	241614	241616	241617	241620	241621	241630	241638
g11	g71	g70	g71	g70	g69	g69	g32	g72	g50	g70	g70	g71	g72	g72	g72	g70	g70	g67	g68	g66	g68	g71	g71	g66	g32	g44	g70	g71	g31	g70	g70	g70	g70	g70	g71	g71	g69	g72	g71	g32	g70	g66	g70	g70	g71	g69	g70	g70	g70	g70	g70	g70	g70	g13	g70	g70	g69	g68	g69	g70	g70	g70	g70	g70	g70	g70	g67	g69	g70	g70	g70	g72	g73	g72	g72	g71	g72	g72	g70	g71	g72	g72	g71	g71	g70	g70	g70	g71	g71	g70	g72	g70	g70	g73	g48	g66	g72	g71	g67	g70	g72	g71	g71	g72	g72	g70	g69	g66	g31	g72	g71	g70	g64	g71	g72	g72	g72	g70	g69	g69	g66	g70	g70	g70	g70	g68	g70	g69	g70	g70	g70	g70	g70	g70	g70	g67	g73	g70	g75	g73	g72	g72	g70	g22	g70
g12	g72	g71	g72	g71	g70	g70	g33	g73	g64	g71	g71	g72	g73	g73	g73	g71	g71	g68	g69	g68	g69	g72	g72	g69	g33	g64	g71	g72	g32	g71	g71	g71	g71	g71	g72	g72	g70	g73	g72	g33	g71	g69	g71	g71	g73	g70	g71	g71	g71	g71	g71	g71	g71	g14	g71	g71	g70	g69	g70	g71	g71	g71	g71	g71	g71	g71	g68	g70	g71	g71	g71	g73	g75	g73	g73	g72	g73	g73	g71	g73	g73	g73	g72	g72	g71	g71	g71	g72	g73	g71	g73	g71	g71	g76	g64	g67	g73	g72	g68	g71	g73	g72	g72	g73	g73	g71	g70	g69	g32	g73	g72	g71	g66	g72	g73	g73	g73	g71	g70	g70	g67	g71	g71	g71	g71	g69	g71	g70	g71	g71	g71	g71	g71	g71	g71	g68	g75	g71	g77	g75	g73	g73	g71	g23	g71
g13	g73	g72	g73	g72	g71	g71	g34	g75	g66	g72	g72	g73	g74	g74	g75	g72	g72	g69	g70	g69	g70	g73	g73	g70	g34	g66	g72	g73	g33	g72	g72	g72	g72	g72	g73	g73	g71	g74	g73	g34	g72	g70	g72	g72	g75	g71	g72	g72	g72	g72	g72	g72	g72	g15	g72	g72	g71	g70	g71	g72	g72	g72	g72	g72	g72	g72	g69	g71	g72	g72	g72	g74	g77	g74	g75	g73	g75	g74	g72	g75	g75	g75	g73	g73	g72	g72	g72	g73	g75	g72	g74	g72	g72	g77	g65	g68	g75	g73	g69	g72	g75	g73	g73	g75	g75	g72	g71	g70	g33	g75	g73	g72	g69	g73	g74	g75	g74	g72	g71	g71	g68	g72	g72	g72	g72	g70	g72	g71	g72	g72	g72	g72	g72	g72	g72	g69	g77	g72	g79	g77	g74	g75	g72	g24	g72
g14	g74	g73	g74	g73	g72	g72	g35	g76	g69	g73	g73	g74	g75	g75	g76	g73	g73	g70	g71	g70	g71	g75	g75	g71	g35	g69	g73	g74	g34	g73	g73	g73	g73	g73	g74	g74	g72	g75	g74	g35	g73	g71	g73	g73	g77	g72	g73	g73	g73	g73	g73	g73	g73	g16	g73	g73	g72	g71	g72	g73	g73	g73	g73	g73	g73	g73	g70	g72	g73	g73	g73	g75	g79	g75	g76	g74	g76	g75	g73	g77	g76	g76	g74	g75	g73	g73	g73	g74	g77	g73	g75	g73	g73	g78	g66	g69	g76	g74	g70	g73	g76	g74	g74	g76	g76	g73	g72	g71	g34	g76	g74	g73	g70	g74	g75	g76	g75	g73	g72	g72	g69	g73	g73	g73	g73	g71	g73	g72	g73	g73	g73	g73	g73	g73	g73	g70	g79	g73	g80	g79	g75	g76	g73	g26	g73
g15	g75	g74	g75	g75	g73	g73	g39	g77	g70	g74	g74	g75	g76	g76	g77	g74	g74	g71	g72	g71	g72	g76	g76	g72	g36	g70	g74	g75	g35	g74	g74	g74	g74	g74	g75	g75	g73	g76	g75	g44	g74	g72	g74	g74	g79	g73	g74	g74	g74	g74	g74	g74	g74	g17	g74	g74	g73	g72	g73	g74	g74	g74	g74	g74	g74	g74	g71	g73	g74	g75	g74	g76	g80	g76	g77	g75	g77	g76	g74	g79	g77	g77	g75	g76	g74	g74	g74	g75	g79	g74	g76	g74	g74	g79	g67	g70	g77	g75	g71	g74	g77	g75	g75	g77	g77	g74	g73	g72	g35	g77	g75	g74	g71	g75	g76	g77	g76	g74	g73	g73	g70	g74	g74	g74	g74	g72	g74	g73	g74	g74	g74	g74	g74	g74	g74	g71	g80	g75	g81	g80	g76	g77	g75	g27	g74
g16	g76	g75	g76	g76	g74	g74	g44	g78	g71	g75	g75	g76	g77	g77	g78	g75	g75	g72	g73	g72	g73	g77	g77	g73	g41	g71	g75	g76	g44	g75	g75	g75	g75	g75	g76	g76	g74	g77	g76	g64	g75	g73	g75	g75	g80	g74	g75	g75	g75	g75	g75	g75	g75	g20	g75	g75	g74	g73	g74	g75	g75	g75	g75	g75	g75	g75	g72	g74	g75	g77	g75	g77	g81	g77	g78	g76	g78	g77	g75	g80	g78	g78	g76	g77	g75	g75	g75	g76	g80	g75	g77	g75	g75	g81	g68	g71	g78	g76	g72	g75	g78	g76	g76	g78	g78	g75	g74	g73	g44	g78	g76	g75	g72	g76	g77	g78	g77	g75	g74	g74	g71	g75	g75	g75	g75	g73	g75	g74	g75	g75	g75	g75	g75	g75	g75	g72	g81	g76	g83	g81	g77	g78	g76	g28	g75
g17	g77	g76	g77	g77	g75	g75	g64	g79	g72	g76	g77	g77	g78	g78	g79	g76	g76	g73	g74	g73	g74	g78	g78	g74	g43	g72	g76	g77	g64	g76	g76	g76	g76	g76	g77	g77	g75	g78	g77	g66	g76	g74	g76	g76	g81	g75	g76	g76	g76	g76	g76	g76	g76	g21	g76	g76	g75	g74	g75	g76	g76	g76	g76	g76	g76	g76	g73	g75	g76	g79	g76	g78	g83	g78	g79	g77	g79	g78	g76	g81	g79	g79	g77	g78	g76	g76	g76	g77	g81	g76	g78	g76	g76	g83	g69	g72	g79	g77	g73	g76	g79	g77	g77	g79	g79	g76	g75	g74	g64	g79	g77	g76	g73	g77	g78	g79	g78	g76	g75	g75	g72	g76	g76	g76	g76	g74	g76	g75	g76	g76	g76	g76	g76	g76	g76	g73	g83	g77	g84	g83	g78	g79	g77	g29	g76
g18	g78	g77	g78	g78	g76	g76	g66	g80	g73	g77	g79	g78	g79	g79	g80	g77	g77	g74	g75	g74	g75	g79	g79	g75	g44	g73	g77	g78	g66	g77	g77	g77	g77	g77	g78	g78	g76	g79	g78	g69	g77	g75	g77	g77	g83	g76	g77	g77	g77	g77	g77	g77	g77	g22	g77	g77	g76	g75	g76	g77	g77	g77	g77	g77	g77	g77	g74	g76	g77	g80	g77	g79	g84	g79	g80	g78	g80	g79	g77	g83	g80	g80	g78	g79	g77	g77	g77	g78	g83	g77	g79	g77	g77	g84	g70	g73	g80	g78	g74	g77	g80	g78	g78	g80	g80	g77	g76	g75	g66	g80	g78	g77	g74	g78	g79	g80	g79	g77	g76	g76	g73	g77	g77	g77	g77	g75	g77	g76	g77	g77	g77	g77	g77	g77	g77	g74	g84	g78	g86	g84	g79	g80	g78	g30	g77
g19	g79	g78	g79	g79	g77	g77	g69	g81	g74	g78	g80	g79	g80	g80	g81	g78	g78	g75	g76	g75	g76	g80	g80	g76	g48	g74	g78	g79	g69	g78	g78	g78	g78	g78	g79	g79	g77	g80	g79	g70	g78	g76	g78	g78	g84	g77	g78	g78	g78	g78	g78	g78	g78	g23	g78	g78	g77	g76	g77	g78	g78	g78	g78	g78	g78	g78	g75	g77	g78	g81	g78	g80	g86	g80	g81	g79	g81	g80	g78	g84	g81	g81	g79	g80	g78	g78	g78	g79	g84	g78	g80	g78	g78	g86	g71	g74	g81	g79	g75	g78	g81	g79	g79	g81	g81	g78	g77	g76	g69	g81	g79	g78	g75	g79	g80	g81	g80	g78	g77	g77	g74	g78	g78	g78	g78	g76	g78	g77	g78	g78	g78	g78	g78	g78	g78	g75	g86	g79	g87	g86	g80	g81	g79	g31	g78
g20	g80	g79	g80	g80	g78	g78	g70	g83	g75	g79	g81	g80	g81	g81	g83	g79	g79	g76	g77	g76	g77	g81	g81	g77	g64	g75	g79	g80	g70	g79	g79	g79	g79	g79	g80	g80	g78	g81	g80	g71	g79	g77	g79	g79	g86	g78	g79	g79	g79	g79	g79	g79	g79	g24	g79	g79	g78	g77	g78	g79	g79	g79	g79	g79	g79	g79	g76	g78	g79	g83	g79	g81	g87	g81	g83	g80	g83	g81	g79	g86	g83	g83	g80	g81	g79	g79	g79	g80	g86	g79	g81	g79	g79	g87	g72	g75	g83	g80	g76	g79	g83	g80	g80	g83	g83	g79	g78	g77	g70	g83	g80	g79	g76	g80	g81	g83	g81	g79	g78	g78	g75	g79	g79	g79	g79	g77	g79	g78	g79	g79	g79	g79	g79	g79	g79	g76	g87	g80	g89	g87	g81	g83	g80	g32	g79
